Quantity,Price,Date,Customer_Asha,Customer_John,Customer_Kiran,Customer_Meera,Customer_Neha,Customer_Pooja,Customer_Ravi,Customer_Sita,Customer_Vijay,Product_Desk,Product_Keyboard,Product_Laptop,Product_Mobile,Product_Monitor,Product_Mouse,Product_Tablet
-1.3279669212592868,-0.8048347960259274,28-09-2025,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1.382169652739258,-1.1611141707310835,01-09-2025,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1.382169652739258,0.9164555046693496,30-10-2025,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
-1.3279669212592868,0.7605054199808821,03-09-2025,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.7046355092396217,1.108220386640241,19-10-2025,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.02710136573998547,-0.05825198919731287,04-10-2025,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1.382169652739258,0.14145443477968123,12-09-2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.382169652739258,-0.06884071187211646,27-09-2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.382169652739258,1.5769270815102232,14-10-2025,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.7046355092396217,-1.6950660832590467,07-09-2025,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6504327777596507,-0.2132677748262389,04-10-2025,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
-1.3279669212592868,0.8545581919747257,16-10-2025,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
-1.3279669212592868,-0.4489447125955805,09-10-2025,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
-1.3279669212592868,1.1937866088432494,26-10-2025,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1.382169652739258,-1.514201356982806,30-10-2025,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-0.6504327777596507,-0.043381062499610774,24-09-2025,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
